replicate,cycle,fluorescence
17,7,118.40846707583881
17,8,178.5485534751194
17,9,279.44129603472214
17,10,457.2080503352914
17,11,772.9772570306578
17,12,1352.3892371706575
17,13,2446.6218771220247
17,14,4358.065063276743
17,15,7827.958846491472
17,16,14111.15260747784
17,17,25502.802971860485
17,18,46140.65437003488
17,19,83303.65897488287
17,20,150611.1750130822
17,21,272579.93776703335
17,22,493012.30206829356
17,23,890938.7405844202
17,24,1606833.339279979
17,25,2889286.4611678505
17,26,5164912.896431683
17,27,9137666.99493029
17,28,15871742.797815237
17,29,26702244.37067928
17,30,42575351.31775723
17,31,62404063.44612874
17,32,81442297.8394574
17,33,93703781.46949683
17,34,98489876.76043619
17,35,99695203.7041235
18,0,52.07459108910893
18,1,58.17633261727681
18,2,46.33185824218607
18,3,61.526942221441494
18,4,60.61809312207559
18,5,78.78702138819875
18,6,84.53436471482902
18,7,113.55971952675932
18,8,157.35256793963865
18,9,255.45756619012377
18,10,396.31768836162155
18,11,670.1153054260435
18,12,1161.1855466604607
18,13,2056.9299524087614
18,14,3674.145517710447
18,15,6533.80682874187
18,16,11701.764331698387
18,17,21160.953724515803
18,18,38144.415046093935
18,19,68789.47854176469
18,20,124331.41942620078
18,21,224904.17225113814
18,22,406487.89299516537
18,23,734492.0938981728
18,24,1325204.6028290763
18,25,2385277.195656295
18,26,4272268.147667549
18,27,7586537.632692156
18,28,13271165.108634487
18,29,22608788.412599277
18,30,36796708.998415194
18,31,55654729.8194054
18,32,75671953.2751701
18,33,90598570.0483892
18,34,97505161.63291433
18,35,99478050.69490378
19,0,50.4659515263074
19,1,60.649706893516836
19,2,53.86537329391097
19,3,53.22015696171164
19,4,58.43349589371652
19,5,64.42037796132257
19,6,73.9279044681886
19,7,87.86462810656403
19,8,108.99910009366965
19,9,148.26631149849996
19,10,226.59663376453088
19,11,367.757718002475
19,12,587.041860454248
19,13,1014.1776681177348
19,14,1769.3060134191344
19,15,3175.5742364210428
19,16,5696.786031431412
19,17,10297.431760944928
19,18,18543.41783294022
19,19,33537.76087569751
19,20,60453.01073463669
19,21,109298.48894888908
19,22,197621.07780721586
19,23,357391.49958600424
19,24,645944.5429622653
19,25,1166540.2332599687
19,26,2101245.338149913
19,27,3768404.504066329
19,28,6709050.899144731
19,29,11782899.998786908
19,30,20213464.21018353
19,31,33293414.17712939
19,32,51305312.61052319
19,33,71562844.3541566
19,34,88068972.3245916
19,35,96589838.48225778
20,0,53.78234794163402
20,1,52.232832368471996
20,2,53.36167436030209
20,3,59.41693189406987
20,4,52.50020371064666
20,5,63.12751266155211
20,6,68.99257089824478
20,7,85.37662591730495
20,8,123.81504416040664
20,9,181.68144969596793
20,10,275.8652387818978
20,11,472.5937574147501
20,12,820.5593637721025
20,13,1441.925064303013
20,14,2592.450113418827
20,15,4634.775043718771
20,16,8297.43436213172
20,17,15012.219360417315
20,18,27157.97361791373
20,19,49112.65425795705
20,20,88785.87912811093
20,21,160542.63823149743
20,22,290260.01556803205
20,23,524776.5418047517
20,24,947984.0763267095
20,25,1709381.0697129369
20,26,3072756.6948528867
20,27,5488532.390860665
20,28,9695821.994564055
20,29,16795855.90558124
20,30,28131780.833609685
20,31,44529560.25119942
20,32,64564537.64024578
20,33,83114074.13353014
20,34,94495638.9246757
20,35,98713964.44454925
21,0,49.17242048225565
21,1,59.7058922781939
21,2,54.2372557794678
21,3,59.962541255916726
21,4,59.298198854401754
21,5,66.72610355054475
21,6,75.70288584745866
21,7,108.60754079958866
21,8,147.21374189059432
21,9,219.3767289759962
21,10,367.73022238556933
21,11,605.3033087185875
21,12,1052.2329415581733
21,13,1816.654322807734
21,14,3199.1485777663333
21,15,5685.561388263178
21,16,10239.572193494962
21,17,18439.2800289305
21,18,33302.761276358244
21,19,60080.31476379545
21,20,108635.75357012803
21,21,196448.7864673066
21,22,355295.9334957279
21,23,642071.3123630136
21,24,1158720.5079222526
21,25,2087391.9951610116
21,26,3744552.3565624626
21,27,6667187.769250232
21,28,11712490.799298847
21,29,20097710.209009405
21,30,33117117.093648255
21,31,51082041.84924814
21,32,71351020.38855271
21,33,87929337.96815787
21,34,96535657.33997647
21,35,99245717.07975692
22,0,57.52027955028238
22,1,50.07513986524639
22,2,42.24448236969435
22,3,56.147844986903415
22,4,66.35535525133368
22,5,78.12648913109673
22,6,92.55980465121999
22,7,127.9019996920471
22,8,211.36570725823003
22,9,317.1234791959548
22,10,547.6023171768047
22,11,957.5790747669747
22,12,1682.0499901704254
22,13,2989.266850503475
22,14,5412.649500675702
22,15,9797.584083303414
22,16,17697.066932988975
22,17,31947.44375387467
22,18,57822.961531874775
22,19,104495.43228353599
22,20,189472.293902048
22,21,342584.48426875507
22,22,619202.2566787348
22,23,1118188.423554022
22,24,2014781.579928672
22,25,3614981.127299677
22,26,6440817.853076029
22,27,11329930.115669696
22,28,19478845.19420867
22,29,32200428.46743682
22,30,49908322.449210756
22,31,70183643.16458382
22,32,87155939.4574494
22,33,96237988.3053474
22,34,99171901.25647181
22,35,99837106.44792166
23,0,58.8328454474762
23,1,51.51388712907104
23,2,52.04181289894841
23,3,57.27586483139379
23,4,53.008301375263486
23,5,58.01737614226072
23,6,63.90317626632074
23,7,68.50511193489959
23,8,83.23725981948817
23,9,95.25090224089756
23,10,123.28347057429414
23,11,172.96653545779273
23,12,254.26223787726673
23,13,428.96125372247076
23,14,705.6685947851815
23,15,1220.2536669392935
23,16,2152.280937511511
23,17,3839.6809188506636
23,18,6921.0225593498035
23,19,12496.13660363079
23,20,22489.099280464132
23,21,40522.00061371232
23,22,73244.31239014686
23,23,132505.7276847512
23,24,239528.41035685956
23,25,433258.5560656542
23,26,782876.7466821608
23,27,1412211.0035256508
23,28,2541468.708330428
23,29,4550448.26841611
23,30,8073985.182285607
23,31,14093507.946132066
23,32,23911090.308204144
23,33,38668133.90728328
23,34,57897309.303871624
23,35,77664278.11685589
24,0,68.01489053888054
24,1,50.97931800411484
24,2,59.09671358283443
24,3,58.13982437097891
24,4,66.11846327987615
24,5,58.43349685385713
24,6,79.0073276731469
24,7,106.56029465282094
24,8,162.86541097182453
24,9,240.32191975859178
24,10,391.0534580268479
24,11,652.9699644485424
24,12,1165.4739143549969
24,13,2050.6738203268246
24,14,3700.958065828286
24,15,6696.507917834871
24,16,12076.97111401301
24,17,21759.356344213564
24,18,39405.514996415375
24,19,71313.18540757768
24,20,129199.41828777475
24,21,233658.85255961755
24,22,422761.58296098467
24,23,764423.1607459083
24,24,1379859.4090050473
24,25,2484191.70893556
24,26,4448979.328066758
24,27,7896735.933202228
24,28,13793961.754759802
24,29,23439568.851993114
24,30,37995651.45069715
24,31,57105833.55688984
24,32,76970188.28237297
24,33,91343883.9154202
24,34,97754631.44455911
24,35,99535969.50157814
25,0,53.744868189069685
25,1,48.636373949524476
25,2,45.262488305064906
25,3,73.86268847066324
25,4,74.71815221795167
25,5,83.01324132174528
25,6,111.48385787537633
25,7,153.6502164601826
25,8,211.0067409261128
25,9,351.2567552663842
25,10,588.6346509451154
25,11,1025.5339905486687
25,12,1808.49095380411
25,13,3197.348592938715
25,14,5778.672181241283
25,15,10366.012768413637
25,16,18687.01001542118
25,17,33714.57496315171
25,18,60979.82519497075
25,19,110240.49801632858
25,20,199230.74722800613
25,21,359841.1868594337
25,22,650325.0124689267
25,23,1173931.2222291767
25,24,2113888.3218306475
25,25,3791205.8316482836
25,26,6748535.357508658
25,27,11850773.97344661
25,28,20318324.6207497
25,29,33448245.995919943
25,30,51502337.03747622
25,31,71760248.83417745
25,32,88200755.93045953
25,33,96643859.2875892
25,34,99273511.47254473
25,35,99857649.90535977
26,0,52.76411909168657
26,1,50.009393803862224
26,2,58.24363300903204
26,3,56.37625367278431
26,4,56.04704731004023
26,5,85.22636872330807
26,6,99.0023217631378
26,7,140.45772685231748
26,8,196.27035198270755
26,9,316.4834035421315
26,10,526.3427834159123
26,11,879.9874333810304
26,12,1539.5436385052217
26,13,2669.4664738556453
26,14,4736.8317267123475
26,15,8461.2469611882
26,16,15182.948387561237
26,17,27257.73678802221
26,18,49009.229070084744
26,19,88441.32199183658
26,20,159927.31605831167
26,21,288886.7934684856
26,22,521610.85942976037
26,23,941836.3917324918
26,24,1697181.6973183611
26,25,3048570.6125746006
26,26,5443842.44417489
26,27,9615774.14703744
26,28,16662100.257811515
26,29,27917047.252776053
26,30,44234734.77394959
26,31,64237551.77701689
26,32,82866685.86091915
26,33,94382616.55072385
26,34,98681247.61447175
26,35,99735897.63090867
27,0,51.88271150340051
27,1,46.02271301631933
27,2,61.05278091912262
27,3,60.35071442402237
27,4,69.29469675283181
27,5,70.20595827060177
27,6,101.68487258710083
27,7,152.12450698487277
27,8,224.0373148264747
27,9,365.38301678163197
27,10,609.41405288842
27,11,1060.8939819769407
27,12,1867.472303270138
27,13,3304.654500716568
27,14,5901.863005474164
27,15,10650.335724466207
27,16,19174.17382570602
27,17,34546.56383270309
27,18,62351.95103291081
27,19,112792.86518194988
27,20,204010.9637560746
27,21,368869.14200127445
27,22,667014.9604986076
27,23,1203855.4335492437
27,24,2168321.1024858933
27,25,3888338.9963467666
27,26,6918828.172390392
27,27,12141678.656217534
27,28,20793961.352240406
27,29,34152479.96398938
27,30,52391716.79604724
27,31,72620912.19352359
27,32,88743259.52887611
27,33,96842754.55837512
27,34,99323722.495167
27,35,99868712.11638084
28,0,50.044154230472586
28,1,51.06931884132373
28,2,47.935144835092345
28,3,60.671861459061326
28,4,62.09576286521761
28,5,69.9656930556315
28,6,78.78878714174746
28,7,87.33538159789987
28,8,142.9766395600353
28,9,201.77550449742537
28,10,328.6914802600313
28,11,527.9604187626568
28,12,912.5627205145878
28,13,1601.5859474543795
28,14,2837.713514765153
28,15,5050.388247130101
28,16,9057.571626927715
28,17,16374.399624686981
28,18,29602.374181896794
28,19,53329.63090215982
28,20,96270.90462355816
28,21,174116.81028773703
28,22,314918.7131759924
28,23,569144.4452598533
28,24,1027535.5604136193
28,25,1851428.1133785779
28,26,3324894.9081253377
28,27,5931954.454639739
28,28,10456444.60312
28,29,18048197.373422734
28,30,30040645.684332605
28,31,47084874.6833116
28,32,67293899.56581554
28,33,85138685.58852728
28,34,95404199.30451007
28,35,98961321.28128287
29,0,46.964790492145255
29,1,43.613089088071284
29,2,54.33595076071749
29,3,56.713077941086205
29,4,68.32744212928839
29,5,63.71392895202659
29,6,72.94272790726853
29,7,89.69656305549884
29,8,119.82864547227955
29,9,188.81306324156057
29,10,282.9869874318232
29,11,461.1979937443831
29,12,798.9056373290122
29,13,1409.4638898181067
29,14,2473.824742199957
29,15,4455.2723561680095
29,16,8025.040772998416
29,17,14480.402176266172
29,18,26171.632043429807
29,19,47284.55450763062
29,20,85472.1828518983
29,21,154634.72215030706
29,22,279740.7717516764
29,23,505277.98701986036
29,24,912840.5031913442
29,25,1646046.3780631986
29,26,2959205.9149358277
29,27,5287365.294672205
29,28,9348968.35295843
29,29,16223604.09715912
29,30,27245242.243774384
29,31,43318377.45163421
29,32,63235517.392978474
29,33,82095550.11647093
29,34,94017262.47113447
29,35,98579436.91411912
30,0,47.15178010551588
30,1,57.001844952418764
30,2,48.290713722866954
30,3,57.13326798043339
30,4,65.60400807026728
30,5,75.9458282448131
30,6,101.15559632076793
30,7,115.19900340941143
30,8,164.3653102121405
30,9,276.48864925514124
30,10,461.5407527370518
30,11,786.6797356402334
30,12,1364.0556869964792
30,13,2445.5810900960473
30,14,4386.532956751796
30,15,7911.493197913436
30,16,14294.065142222993
30,17,25890.270208322538
30,18,46803.01560165483
30,19,84664.02408928542
30,20,153160.9775167845
30,21,277203.69309210445
30,22,501491.63782201783
30,23,905798.9648402119
30,24,1633744.4194479103
30,25,2936310.3551844605
30,26,5247088.953994919
30,27,9279124.075564882
30,28,16106504.478054686
30,29,27065914.882427264
30,30,43076651.71067182
30,31,62966299.448323935
30,32,81886330.2257077
30,33,93915592.34485237
30,34,98550377.76081567
30,35,99709346.63589089
31,0,49.041991911928484
31,1,54.89049546665942
31,2,59.21750143901449
31,3,57.766908012440204
31,4,62.41920257771305
31,5,67.74056810968268
31,6,85.68837502509892
31,7,110.8826014134218
31,8,150.0504144188092
31,9,238.78519931644874
31,10,388.1657585131875
31,11,665.5880974912807
31,12,1163.4353868947578
31,13,2071.003959485879
31,14,3675.487249156077
31,15,6597.671484805456
31,16,11875.821119373892
31,17,21496.185414320273
31,18,38818.897363727745
31,19,70263.9396213766
31,20,127019.34307235725
31,21,229793.85382296707
31,22,415604.18370609026
31,23,750821.3625243034
31,24,1354898.885990646
31,25,2438072.920335758
31,26,4365781.059142337
31,27,7751477.8910306385
31,28,13549260.924240332
31,29,23049444.39948812
31,30,37430666.68555336
31,31,56427545.1050194
31,32,76370842.33234751
31,33,91007930.19541973
31,34,97647189.6959269
31,35,99512756.18819349
